Race Name,Race Type,Race Title,Race Moto,Race Home,Race Description,Strength,Intelligence,Agility,Sorcery,Critical Hit,Dodge,Counter,Block,Healing
Shadow,Demon,Darkness Crawlers,None,Dark Realm,"Hailing from the foreboding Dark Realm, the Shadow demons, thrive in obscurity. Masters of elusive malevolence, they traverse shadows, orchestrating chaos with their sinister, ethereal presence.",1,0,0,1,3,0,0,2,0
Luminaire,Human,Lumin Mage,"Harnessing Luminari light, we illuminate the path of unity",Luminaire Haven,"Connecting to the Luminu Dimension, these powerful Mage possess the rare gift to summon the radiant Luminari, forming a symbiotic alliance that radiates harmonious brilliance.",0,1,0,1,1,0,2,1,1
Sylpharan,Mystical Entity,Sylph's Grace,"In the currents of air and light, we soar with grace",Sylpha,"Ethereal beings of air and light, Sylpharans navigate the skies with grace, their translucent wings carrying them effortlessly across the heavens.",0,0,0,2,2,0,0,1,2
Ignitarian,Mystical Entity,Flameforged Kin,"From the molten heart, our fire ignites",Ignition,"Fiery creatures hailing from the depths of molten caverns, Ignitarians possess bodies forged in flame, capable of manipulating and harnessing the power of fire.",0,0,0,2,2,0,0,2,1
Aquanoxian,Mystical Entity,Biolumin Seafolk,"Beneath the waves, our biolumin essence shines",Noxian Plaines,"Amphibious denizens of the deep seas, Aquanoxians boast bioluminescent scales and formidable aquatic abilities, creating vibrant undersea civilizations.",0,0,0,2,1,1,0,2,1
Drakari,Mystical Entity,Serpent Keepers,"Guardians of the arcane scales, wisdom entwined",Draka,"Serpentine beings with scales of iridescent hues, Drakari are wise and ancient, guardians of arcane knowledge hidden within subterranean realms.",0,0,0,2,1,0,2,1,1
Luminari,Mystical Entity,Dimensional Radiants,"Traversing realms, embodiment of cosmic light",Luminu Dimension,"Luminous entities of pure energy, the Luminari traverse dimensions, embodying the radiant forces of creation and embodying the balance between light and shadow.",0,0,0,2,3,0,0,1,1
Umbrathrall,Mystical Entity,Twilight Shadows,"In unseen whispers, shadows dance our path",Umbrathrall,"Shadow-wrought beings existing in the twilight realms, Umbrathralls move unseen and possess the ability to manipulate shadows for both stealth and offense.",0,0,0,2,2,1,0,1,1
Feytouched,Mystical Entity,Feywild Enigmas,"Born of Feywild's magic, nature's kin we remain",Feywild,"Enigmatic beings born of the mystical energy of the Feywild, Feytouched possess an inherent connection to nature, capable of charming and communing with the flora and fauna around them.",0,0,0,2,1,0,0,2,2
Terracian,Mystical Entity,Stonecraft Architects,"From living rock, we shape realms anew",Terracia,"Earthbound beings with bodies composed of living rock and crystals, Terracians are master craftsmen, sculptors, and builders, shaping landscapes with their geological abilities.",0,0,0,2,3,0,0,1,1
